time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
1.335,-0.0189433,-0.0187252,-0.01724757,-0.01706114
1.34,-0.01792765,-0.0177113,-0.01634791,-0.01640761
1.345,-0.01747786,-0.01658172,-0.01558154,-0.01473373
1.35,-0.01843702,-0.0170966,-0.01744928,-0.01426278
1.355,-0.01697196,-0.01753583,-0.01415425,-0.01306864
1.36,-0.01563479,-0.01754536,-0.01485251,-0.01380104
1.365,-0.0175465,-0.01502878,-0.01300452,-0.01226885
1.37,-0.01677799,-0.01605421,-0.01325453,-0.01091101
1.375,-0.01487918,-0.0129781,-0.01260697,-0.01062492
1.38,-0.01299325,-0.01236198,-0.01239498,-0.00691592
1.385,-0.0135801,-0.01030956,-0.00944197,-0.00685821
1.39,-0.00959005,-0.01124231,-0.00769393,-0.00587955
1.395,-0.00973005,-0.00788957,-0.00458009,-0.00285522
1.4,-0.00802176,-0.00413733,-0.00272438,-0.00224494
1.405,-0.00599203,-0.00437759,-0.00141716,0.00015894
1.41,-0.00299356,-0.00235244,0.00023798,0.0017609
1.415,-0.0026086,0.00075231,0.00041508,0.00424461
1.42,0.00034453,0.00271814,0.0024533,0.00663907
1.425,0.00065125,0.00271509,0.00484463,0.00521922
1.43,0.00297082,0.00419675,0.00474157,0.00672165
1.435,0.00454847,0.00380429,0.00579209,0.00608977
1.44,0.00211791,0.0046632,0.00541601,0.00790978
1.445,0.00247357,0.00355324,0.00671339,0.0072731
1.45,0.00155195,0.00338524,0.00335588,0.00744619
1.455,0.00164372,0.00340314,0.00481026,0.00595715
1.46,0.00049162,0.00442601,0.00232226,0.00567896
1.465,-0.00056004,0.00155145,0.00100144,0.00607138
1.47,-0.00072259,-0.00047151,0.00330354,0.00325894
1.475,-0.00072204,-0.00083226,-0.00133762,0.00225463
1.48,-0.00389305,-0.00299752,-0.00088109,0.00199033
1.485,-0.00447771,-0.00088448,-0.00182795,0.00120751
1.49,-0.00317657,-0.00137132,-0.00058703,0.00184029
1.495,-0.00419429,-0.00196754,-0.00092507,0.0033907
1.5,-0.0026581,-0.00133365,0.00113526,0.00435962
1.505,0.00080921,8.461e-05,0.00454788,0.00423855
1.51,0.00186589,0.00352479,0.00362365,0.00522602
1.515,0.00100427,0.00463287,0.006724,0.00758928
1.52,0.00360531,0.00719702,0.00922915,0.01000819
1.525,0.00651136,0.00933395,0.00967215,0.01223403
1.53,0.0098252,0.01230994,0.01464957,0.01589124
1.535,0.01257003,0.01287867,0.01552467,0.01459187
1.54,0.01375182,0.01526285,0.01621717,0.01824106
1.545,0.01516261,0.01911606,0.01813053,0.02107667
1.55,0.01742283,0.01751248,0.01966842,0.02240595
1.555,0.01818812,0.01964731,0.02098844,0.02175992
1.56,0.01995367,0.01855089,0.02020539,0.02074129
1.565,0.02275848,0.01977413,0.02120484,0.02388858
1.57,0.02042897,0.02191731,0.02170798,0.01919042
1.575,0.01938603,0.02003842,0.01854775,0.01797024
1.58,0.02055165,0.0216884,0.01854279,0.01896861
1.585,0.02054465,0.02012798,0.01727961,0.01790849
1.59,0.01892158,0.01639073,0.01712225,0.01614311
1.595,0.0155676,0.01661171,0.01670716,0.01583126
1.6,0.01591211,0.01706878,0.01529389,0.013988
1.605,0.01597007,0.01349825,0.01529654,0.01334089
1.61,0.01591139,0.01431717,0.01206956,0.01210111
1.615,0.01486905,0.01463556,0.01314128,0.01008833
1.62,0.01400999,0.01313507,0.01188934,0.00782638
1.625,0.01432243,0.01109088,0.01031079,0.0108678
1.63,0.01248974,0.01074252,0.00937751,0.00736048
1.635,0.011449,0.01126975,0.00950005,0.00710263
1.64,0.0122559,0.00972749,0.00692256,0.00559354
1.645,0.01145262,0.00810757,0.00656989,0.00446194
1.65,0.01206109,0.00890551,0.006933,0.00395278
1.655,0.00789942,0.00707964,0.00578948,0.00096089
1.66,0.00715413,0.00516554,0.00340595,0.00173197
1.665,0.0053674,0.00335627,0.00449639,-0.00136555
1.67,0.00260306,0.00207964,-0.0007509,-0.00253248
1.675,0.00226162,-0.0019104,-0.00162486,-0.00359064
1.68,0.00202987,-0.00095754,-0.00200452,-0.00355681
1.685,-3.913e-05,-0.00203969,-0.00480601,-0.00581784
1.69,-0.00211306,-0.00602764,-0.00572398,-0.00634871
1.695,-0.00186733,-0.00487932,-0.00726499,-0.00855776
1.7,-0.00346959,-0.00642484,-0.00807248,-0.00889695
1.705,-0.00358439,-0.00501129,-0.0081562,-0.01096959
